20050105:0710,0.0,0.0,5.6,6.41,0.0
20050105:0810,112.01,9.68,5.79,6.48,0.0
20050105:0910,204.01,15.06,6.42,6.55,0.0
20050105:1010,152.0,18.31,7.01,5.24,0.0
20050105:1110,200.0,19.12,7.27,4.62,0.0
20050105:1210,104.0,17.41,7.5,4.41,0.0
20050105:1310,106.0,13.34,7.75,5.24,0.0
20050105:1410,27.0,7.3,7.51,5.38,0.0
20050105:1510,0.0,0.0,6.96,4.76,0.0
20050105:1610,0.0,0.0,6.51,4.34,0.0
20050105:1710,0.0,0.0,6.28,4.07,0.0
20050105:1810,0.0,0.0,6.02,3.86,0.0
20050105:1910,0.0,0.0,6.02,4.14,0.0
20050105:2010,0.0,0.0,6.38,4.07,0.0
20050105:2110,0.0,0.0,6.22,3.52,0.0
20050105:2210,0.0,0.0,6.07,2.83,0.0
20050105:2310,0.0,0.0,6.23,2.55,0.0
20050106:0010,0.0,0.0,6.07,2.55,0.0
20050106:0110,0.0,0.0,5.46,1.86,0.0
20050106:0210,0.0,0.0,4.65,1.45,0.0
20050106:0310,0.0,0.0,3.57,1.72,0.0
20050106:0410,0.0,0.0,3.96,2.07,0.0
20050106:0510,0.0,0.0,4.75,3.17,0.0
20050106:0610,0.0,0.0,5.21,4.41,0.0
20050106:0710,0.0,0.0,4.41,2.48,0.0
20050106:0810,9.0,9.74,5.83,5.1,0.0
20050106:0910,89.0,15.14,6.9,6.21,0.0
20050106:1010,194.0,18.41,7.81,6.55,0.0
20050106:1110,249.01,19.24,8.92,5.38,0.0
20050106:1210,97.0,17.54,9.19,6.0,0.0
20050106:1310,253.02,13.49,8.73,7.93,0.0
20050106:1410,135.01,7.45,8.45,6.83,0.0
20050106:1510,0.0,0.0,7.82,6.21,0.0
20050106:1610,0.0,0.0,7.06,5.93,0.0
20050106:1710,0.0,0.0,6.43,5.72,0.0
20050106:1810,0.0,0.0,6.3,5.79,0.0
20050106:1910,0.0,0.0,6.19,5.66,0.0
20050106:2010,0.0,0.0,5.95,5.66,0.0
20050106:2110,0.0,0.0,5.64,5.66,0.0
20050106:2210,0.0,0.0,5.43,5.66,0.0
20050106:2310,0.0,0.0,4.9,5.38,0.0
20050107:0010,0.0,0.0,4.52,4.9,0.0
20050107:0110,0.0,0.0,4.13,3.93,0.0
20050107:0210,0.0,0.0,3.76,2.97,0.0
20050107:0310,0.0,0.0,3.58,2.48,0.0
20050107:0410,0.0,0.0,3.42,2.55,0.0
20050107:0510,0.0,0.0,3.09,2.41,0.0
20050107:0610,0.0,0.0,2.55,2.21,0.0
20050107:0710,0.0,0.0,2.88,2.28,0.0
20050107:0810,95.0,9.81,4.89,2.9,0.0
20050107:0910,200.01,15.22,7.11,3.72,0.0
20050107:1010,255.01,18.52,8.5,2.97,0.0
20050107:1110,298.01,19.37,9.59,3.66,0.0
20050107:1210,323.02,17.68,10.33,3.79,0.0
20050107:1310,114.0,13.64,10.62,4.28,0.0
20050107:1410,94.0,7.61,10.54,4.21,0.0
20050107:1510,10.0,0.04,9.74,3.86,0.0
20050107:1610,0.0,0.0,8.83,3.66,0.0
20050107:1710,0.0,0.0,8.17,3.38,0.0
20050107:1810,0.0,0.0,7.45,2.97,0.0
20050107:1910,0.0,0.0,6.83,3.31,0.0
20050107:2010,0.0,0.0,7.13,3.93,0.0
20050107:2110,0.0,0.0,7.12,4.14,0.0
20050107:2210,0.0,0.0,7.01,4.21,0.0
20050107:2310,0.0,0.0,6.84,4.0,0.0
20050108:0010,0.0,0.0,6.41,3.59,0.0
20050108:0110,0.0,0.0,5.6,2.83,0.0
20050108:0210,0.0,0.0,4.3,2.07,0.0
20050108:0310,0.0,0.0,4.08,1.52,0.0
20050108:0410,0.0,0.0,3.11,1.38,0.0
20050108:0510,0.0,0.0,1.72,1.45,0.0
20050108:0610,0.0,0.0,0.6,1.52,0.0
20050108:0710,0.0,0.0,0.4,1.59,0.0
20050108:0810,109.01,9.88,1.46,1.31,0.0
20050108:0910,225.01,15.32,4.32,1.1,0.0
20050108:1010,292.01,18.63,8.26,1.38,0.0
20050108:1110,330.01,19.5,9.98,1.66,0.0
20050108:1210,297.01,17.83,10.92,1.79,0.0
20050108:1310,243.01,13.79,11.07,1.79,0.0
20050108:1410,145.01,7.77,10.28,1.93,0.0
20050108:1510,13.0,0.2,8.46,2.21,0.0
20050108:1610,0.0,0.0,6.2,2.07,0.0
20050108:1710,0.0,0.0,4.08,1.66,0.0
20050108:1810,0.0,0.0,2.76,1.79,0.0
20050108:1910,0.0,0.0,1.46,1.66,0.0
20050108:2010,0.0,0.0,0.46,2.0,0.0
20050108:2110,0.0,0.0,0.91,2.76,0.0
20050108:2210,0.0,0.0,4.05,4.48,0.0
20050108:2310,0.0,0.0,7.23,5.93,0.0
20050109:0010,0.0,0.0,8.14,6.0,0.0
20050109:0110,0.0,0.0,8.05,5.66,0.0
20050109:0210,0.0,0.0,7.75,5.38,0.0
20050109:0310,0.0,0.0,7.52,5.17,0.0
20050109:0410,0.0,0.0,7.63,5.1,0.0
20050109:0510,0.0,0.0,7.97,4.97,0.0
20050109:0610,0.0,0.0,8.09,4.62,0.0
20050109:0710,0.0,0.0,8.14,4.34,0.0
