20160104:1510,0.0,0.0,0.0,-6.55,4.55,0.0
20160104:1610,0.0,0.0,0.0,-6.9,4.21,0.0
20160104:1710,0.0,0.0,0.0,-6.99,4.0,0.0
20160104:1810,0.0,0.0,0.0,-6.93,3.66,0.0
20160104:1910,0.0,0.0,0.0,-7.53,3.24,0.0
20160104:2010,0.0,0.0,0.0,-7.47,3.1,0.0
20160104:2110,0.0,0.0,0.0,-7.46,2.83,0.0
20160104:2210,0.0,0.0,0.0,-7.26,2.76,0.0
20160104:2310,0.0,0.0,0.0,-7.11,2.69,0.0
20160105:0010,0.0,0.0,0.0,-6.95,2.69,0.0
20160105:0110,0.0,0.0,0.0,-7.11,2.69,0.0
20160105:0210,0.0,0.0,0.0,-7.2,2.48,0.0
20160105:0310,0.0,0.0,0.0,-7.33,2.28,0.0
20160105:0410,0.0,0.0,0.0,-7.19,2.07,0.0
20160105:0510,0.0,0.0,0.0,-7.33,2.14,0.0
20160105:0610,0.0,0.0,0.0,-7.49,1.93,0.0
20160105:0710,3.89,12.1,2.65,-6.27,1.93,0.0
20160105:0810,160.69,166.44,9.71,-5.81,1.86,0.0
20160105:0910,105.92,116.57,15.08,-4.63,2.21,0.0
20160105:1010,57.61,70.88,18.32,-3.46,2.62,0.0
20160105:1110,51.84,65.36,19.12,-2.58,2.97,0.0
20160105:1210,44.41,57.99,17.4,-2.0,3.17,0.0
20160105:1310,356.6,355.4,13.32,-1.73,3.1,0.0
20160105:1410,7.51,17.28,7.27,-1.97,2.48,0.0
20160105:1510,0.0,0.0,0.0,-2.8,2.34,0.0
20160105:1610,0.0,0.0,0.0,-3.29,2.14,0.0
20160105:1710,0.0,0.0,0.0,-3.29,1.93,0.0
20160105:1810,0.0,0.0,0.0,-3.19,2.0,0.0
20160105:1910,0.0,0.0,0.0,-4.5,2.48,0.0
20160105:2010,0.0,0.0,0.0,-4.65,2.76,0.0
20160105:2110,0.0,0.0,0.0,-4.8,2.83,0.0
20160105:2210,0.0,0.0,0.0,-4.9,2.69,0.0
20160105:2310,0.0,0.0,0.0,-4.96,2.55,0.0
20160106:0010,0.0,0.0,0.0,-5.06,2.34,0.0
20160106:0110,0.0,0.0,0.0,-4.94,2.14,0.0
20160106:0210,0.0,0.0,0.0,-4.72,2.14,0.0
20160106:0310,0.0,0.0,0.0,-4.72,2.0,0.0
20160106:0410,0.0,0.0,0.0,-4.43,1.93,0.0
20160106:0510,0.0,0.0,0.0,-4.28,2.14,0.0
20160106:0610,0.0,0.0,0.0,-4.13,2.21,0.0
20160106:0710,2.15,9.5,2.69,-4.01,2.34,0.0
20160106:0810,7.04,16.57,9.77,-3.52,2.41,0.0
20160106:0910,37.35,50.63,15.16,-2.68,2.83,0.0
20160106:1010,84.77,97.83,18.42,-2.06,2.41,0.0
20160106:1110,82.23,95.73,19.24,-1.39,2.28,0.0
20160106:1210,106.54,119.11,17.53,-1.12,2.0,0.0
20160106:1310,33.48,46.95,13.46,-0.92,1.79,0.0
20160106:1410,25.94,38.88,7.42,-0.99,1.66,0.0
20160106:1510,0.0,0.0,0.0,-1.29,1.03,0.0
20160106:1610,0.0,0.0,0.0,-1.88,0.76,0.0
20160106:1710,0.0,0.0,0.0,-2.41,0.83,0.0
20160106:1810,0.0,0.0,0.0,-2.88,1.24,0.0
20160106:1910,0.0,0.0,0.0,-2.63,1.03,0.0
20160106:2010,0.0,0.0,0.0,-3.05,1.72,0.0
20160106:2110,0.0,0.0,0.0,-2.99,2.07,0.0
20160106:2210,0.0,0.0,0.0,-3.11,2.41,0.0
20160106:2310,0.0,0.0,0.0,-3.24,2.55,0.0
20160107:0010,0.0,0.0,0.0,-3.02,2.55,0.0
20160107:0110,0.0,0.0,0.0,-2.68,2.34,0.0
20160107:0210,0.0,0.0,0.0,-2.25,2.21,0.0
20160107:0310,0.0,0.0,0.0,-1.72,2.14,0.0
20160107:0410,0.0,0.0,0.0,-1.36,2.14,0.0
20160107:0510,0.0,0.0,0.0,-1.1,2.28,0.0
20160107:0610,0.0,0.0,0.0,-1.0,2.48,0.0
20160107:0710,3.19,11.23,2.74,-1.34,2.83,0.0
20160107:0810,68.33,81.83,9.84,-0.74,2.9,0.0
20160107:0910,97.73,110.99,15.25,0.42,2.97,0.0
20160107:1010,41.92,56.15,18.53,1.25,2.9,0.0
20160107:1110,59.66,74.56,19.37,2.35,2.9,0.0
20160107:1210,50.43,65.36,17.67,2.96,2.48,0.0
20160107:1310,51.29,66.28,13.62,3.03,2.07,0.0
20160107:1410,28.64,42.34,7.58,2.39,1.52,0.0
20160107:1510,0.0,0.0,0.0,0.91,1.79,0.0
20160107:1610,0.0,0.0,0.0,-1.18,1.79,0.0
20160107:1710,0.0,0.0,0.0,-1.1,0.48,0.0
20160107:1810,0.0,0.0,0.0,-1.64,0.62,0.0
20160107:1910,0.0,0.0,0.0,-2.18,0.9,0.0
20160107:2010,0.0,0.0,0.0,-2.99,1.1,0.0
20160107:2110,0.0,0.0,0.0,-2.21,0.83,0.0
20160107:2210,0.0,0.0,0.0,-1.92,0.62,0.0
20160107:2310,0.0,0.0,0.0,-2.41,0.9,0.0
20160108:0010,0.0,0.0,0.0,-2.17,0.76,0.0
20160108:0110,0.0,0.0,0.0,-1.58,0.55,0.0
20160108:0210,0.0,0.0,0.0,-1.24,0.48,0.0
20160108:0310,0.0,0.0,0.0,-2.44,1.66,0.0
20160108:0410,0.0,0.0,0.0,-1.24,3.1,0.0
20160108:0510,0.0,0.0,0.0,1.46,4.62,0.0
20160108:0610,0.0,0.0,0.0,2.72,4.76,0.0
20160108:0710,4.25,12.96,2.79,2.04,3.66,0.0
20160108:0810,100.38,114.09,9.91,2.73,3.59,0.0
20160108:0910,402.7,409.34,15.34,4.39,4.14,0.0
20160108:1010,533.87,549.27,18.65,6.04,4.28,0.0
20160108:1110,665.64,703.27,19.5,6.95,3.45,0.0
20160108:1210,610.24,642.44,17.82,7.34,3.24,0.0
